SOURCE_ID,DATE,PERMITTED_ACRES,COMPLETED_ACRES,BURN_NAME,BURNTYPE_REPORTED,ENTITY_REQUESTING,LAT_PERMIT,LON_PERMIT,BURN_STATUS
PNF0337P,2022-01-24,50,50,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.45479517768945,-112.48835961914062,Complete
TNF536P,2022-01-24,5,5,Spring Piles,Pile,"U.S. Forest Service, NA, Pleasant Valley",34.126924664578034,-110.80262843322755,Complete
PNF0337P,2022-01-25,50,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.454936724873676,-112.49127786254883,Incomplete
PNF0337P,2022-01-25,100,50,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.51118272305298,-112.46776025390625,Complete
COF0224P,2022-01-25,40,20,Flagstaff RD Piles,Pile,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.32879329136318,-111.738,Complete
TNF536P,2022-01-25,50,50,Spring Piles,Pile,"U.S. Forest Service, NA, Pleasant Valley",34.12834565999554,-110.80357257080078,Complete
PNF0337P,2022-01-26,100,70,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.504534229994285,-112.4620954284668,Complete
CNF115B,2022-01-26,500,150,Cochise Stronghold,Broadcast,"U.S. Forest Service, Coronado, Douglas",31.873040643807304,-109.96075117094443,Complete
TNF536P,2022-01-26,55,55,Spring Piles,Pile,"U.S. Forest Service, NA, Pleasant Valley",34.1280614628229,-110.80254260253906,Complete
COF0224P,2022-01-26,20,10,Flagstaff RD Piles,Pile,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.329,-111.738,Complete
COF0224P,2022-01-27,20,0,Flagstaff RD Piles,Pile,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.34752273285907,-111.72639718627931,Incomplete
XXH1708B,2022-01-29,700,672,Fort Wide 20,Broadcast,"Department of Defense, NA, Ft Huachuca",31.51809901511686,-110.33501367187502,Complete
CBR2003B,2022-01-31,46,0,AZCBR-RefugeFuels,Broadcast,"U.S. Fish & Wildlife Service, Cibola, Cibola",33.3327104133217,-114.68425445556642,Incomplete
IMR03B,2022-01-31,25,25,AZIMR-RefugeFuels,Broadcast,"U.S. Fish & Wildlife Service, NA, Imperial",33.01027788592464,-114.49165039062501,Complete
PNF0337P,2022-01-31,100,0,West Zone Piles,Pile,"U.S. Forest Service, Prescott, Bradshaw",34.529922959680455,-112.54311959838867,Incomplete
COF0224P,2022-01-31,50,0,Flagstaff RD Piles,Pile,"U.S. Forest Service, Coconino, Flagstaff (COF)",35.35466328312917,-111.74485078430178,Incomplete
