Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
2/24/2016,Northern Sierra AQMD,Plumas,Mountain Counties,10,10,40.014,-121.068,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,York/Twain,Hand Pile,Slash,100
2/24/2016,Tehama County APCD,Tehama,Sacramento Valley,27,13,39.865,-122.909,T17N R17E Sections 29 31 32 MDB&M,US Forest Service,Buttermilk 125 (11),Hand Pile,Natural,68.25
2/24/2016,Feather River AQMD,Yuba,Sacramento Valley,13,13,39.395,-121.166,T 3N R 24E Sec. 5,National Park Service,Pendola Unit 253,Hand Pile,Slash,458.25
2/24/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,28,14.25,37.297,-118.327,T17N R17E Sections 29 31 32 MDB&M,Individual,Division W,Broadcast,Natural,71.25
2/24/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,UNK,14.25,37.297,-118.327,"T25N R8E S23,24,20",Individual,Division A,Broadcast,Natural,71.25
2/25/2016,Butte County AQMD,Butte,Sacramento Valley,3,1,39.52,-121.45,T17N R17E Sections 29 31 32 MDB&M,Cal Fire,Loafer Creek 08,Hand Pile,Brush,4
2/25/2016,El Dorado County AQMD,El Dorado,Lake Tahoe,5,1,38.951,-120.109,T17N R17E Sections 29 31 32 MDB&M,California State Parks,Emerald Bay / So. Bliss burn piles,Hand Pile,Slash,UNK
2/25/2016,Great Basin Unified APCD,Inyo,Great Basin Valleys,1,1,36.869,-118.159,"T13N R17E S15, 21, 22, 28",County of Inyo,Lower Owens River Project,Hand Pile,UNK,UNK
2/25/2016,Siskiyou County APCD,Siskiyou,Northeast Plateau,2,2,41.669,-122.847,T17N R17E Sections 29 31 32 MDB&M,Bureau of Land Management,Indian Creek Road,Hand Pile,Natural,10.8
2/26/2016,Butte County AQMD,Butte,Sacramento Valley,3,2,39.52,-121.45,T17N R17E Sections 29 31 32 MDB&M,Cal Fire,Loafer Creek 08,Hand Pile,Brush,8
2/26/2016,Butte County AQMD,Butte,Sacramento Valley,3,2,39.52,-121.45,"T13N R17E S15, 21, 22, 28",Cal Fire,Loafer Creek 08,Hand Pile,Brush,8
2/26/2016,El Dorado County AQMD,El Dorado,Mountain Counties,20,5,38.863,-120.586,"T13N R17E S15, 21, 22, 28",Sierra Pacific Industries,Kings Sugar Emergency Notice Area,Machine Pile,Slash,75
2/26/2016,El Dorado County AQMD,El Dorado,Mountain Counties,15,9,38.848,-120.601,"T13N R17E S15, 21, 22, 28",Sierra Pacific Industries,Sugar Brush EN Broadcast,Broadcast,Slash,135
