Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Splinter Hill Bog,4B,31.01249631,-87.69396985,3/21/2019,3/21/2019,Broadcast,79,79,,Rural,"[""TNC""]",Alabama,Low
Dunn Ranch,W1A,40.5043,-94.1033,3/21/2019,3/21/2019,Broadcast,80,80,,Rural,"[""TNC""]",Missouri,Low
Dunn Ranch,W1B,40.5043,-94.1033,3/21/2019,3/21/2019,Broadcast,80,80,,Rural,"[""TNC""]",Missouri,Low
Warren Prairie NA,Big North unit,33.5787,-91.9777,3/21/2019,3/22/2019,Broadcast,757,133,,Rural,"[""TNC""]",Arkansas,Medium
Tallgrass Prairie Preserve,Bass - North Daly,36.814238,-96.481618,3/21/2019,3/21/2019,Broadcast,"1,001",162,,Rural,"[""TNC""]",Oklahoma,Low
Pine Knot,Pine Knot Willet,32.414618,-84.56724796,3/21/2019,3/21/2019,Broadcast,205,205,,Urban,"[""TNC""]",Georgia,Medium
Moody Forest National Area,10 SE,31.90274516,-82.29796198,3/22/2019,3/22/2019,Broadcast,24,24,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,"White House, Lake Russel North",28.13617072,-81.44027436,3/22/2019,3/22/2019,Broadcast,130,130,,Rural,"[""TNC""]",Florida,Low
Nachusa Grasslands,Main Mid,41.88241746,-89.35157502,3/22/2019,3/22/2019,Broadcast,162,162,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,Main NA,41.89251324,-89.34668267,3/22/2019,3/22/2019,Broadcast,171,171,,Rural,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,West Greeley,36.883512,-96.408349,3/22/2019,3/22/2019,Broadcast,338,338,,Rural,"[""TNC""]",Oklahoma,Low
Nickel Preserve,Savanna Unit,36.04531,-94.80568,3/22/2019,3/22/2019,Broadcast,415,380,"[""Private""]",Rural,"[""Contractor""]",Oklahoma,Low
Tallgrass Prairie Preserve,Southeast Mary L.,36.863725,-96.393502,3/22/2019,3/22/2019,Broadcast,510,510,,Rural,"[""TNC""]",Oklahoma,Low
Konza Prairie,"N1A, N4B, K1B",39.0926,-96.5803,3/22/2019,3/22/2019,Broadcast,669,669,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Harrison County Glades,"Teeple Glade, South Unit Central",38.02841013,-85.95713178,3/23/2019,3/23/2019,Broadcast,40,40,,Rural,"[""TNC""]",Indiana,Low
Tiger Creek Preserve,Lost Lake 5,27.82499711,-81.48421991,3/23/2019,3/23/2019,Broadcast,100,100,,Rural,"[""TNC""]",Florida,Low
Calloway Preserve,Calloway26,35.03359,-79.271,3/23/2019,3/23/2019,Broadcast,151,151,,Rural,"[""TNC""]",North Carolina,Medium
Nachusa Grasslands,Big Jump ,41.92508998,-89.36393464,3/23/2019,3/23/2019,Broadcast,160,160,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,CCK E,41.90239587,-89.32064629,3/25/2019,3/25/2019,Broadcast,223,223,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,VC and Hulbert plots,41.87936535,-89.35878786,3/26/2019,3/26/2019,Broadcast,3,3,,Rural,"[""TNC""]",Illinois,Low
Mantle Rock ,"6,7",37.358,-88.4,3/26/2019,3/26/2019,Broadcast,20,20,,Urban,"[""TNC""]",Kentucky,Medium
Nachusa Grasslands,Dot Doug,41.89326524,-89.35861314,3/26/2019,3/26/2019,Broadcast,35,35,,Rural,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,Hubble Horse Trap North,36.751037,-96.361503,3/26/2019,3/26/2019,Broadcast,51,51,,Rural,"[""TNC""]",Oklahoma,Low
Emiquon,Unit 16 and ridge,40.36951218,-90.02397263,3/26/2019,3/26/2019,Broadcast,65,65,,Rural,"[""TNC""]",Illinois,Low
Emiquon Preserve,Unit 16 and Ridge,40.36700268,-90.08838857,3/26/2019,3/26/2019,Broadcast,65.5,65.5,,Rural,"[""TNC""]",Illinois,Medium
Wah`Kon-Tah,N2,37.9255,-94.0144,3/26/2019,3/26/2019,Broadcast,90,90,,Rural,"[""TNC""]",Missouri,Medium
Nachusa Grasslands,Holland E,41.8981061,-89.34518404,3/26/2019,3/26/2019,Broadcast,94,94,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,W Heinkel,41.86976852,-89.35896983,3/26/2019,3/26/2019,Broadcast,111,111,,Rural,"[""TNC""]",Illinois,Low
Mantle Rock ,2,37.358,-88.422,3/26/2019,3/26/2019,Broadcast,120,120,,Urban,"[""TNC""]",Kentucky,Medium
Wah`Kon-Tah,TH-SC,37.8944,-93.9866,3/26/2019,3/26/2019,Broadcast,126,126,,Rural,"[""TNC""]",Missouri,Medium
Old Fort Bayou,OFB 1,30.46823517,-88.7457112,3/26/2019,3/26/2019,Broadcast,133,133,,Rural,"[""TNC""]",Mississippi,Low
Disney Wilderness Preserve,Bob's Flatwoods North,28.12628115,-81.43197785,3/26/2019,3/26/2019,Broadcast,250,250,,Rural,"[""TNC""]",Florida,Low
Kankakee Sands,K North,41.05454808,-87.4575355,3/26/2019,3/26/2019,Broadcast,341,341,,Rural,"[""TNC""]",Indiana,Low
Tallgrass Prairie National Preserve,TNC East Side,38.4138006,-96.52413653,3/26/2019,3/26/2019,Broadcast,"2,076","2,076",,Rural,"[""Government Agency""]",Kansas,Medium
Black River,BR Annand,34.483714,-78.21491,3/27/2019,3/27/2019,Broadcast,15,15,,Rural,"[""TNC""]",North Carolina,Medium
Black River,BR Annand,34.483714,-78.21491,3/27/2019,3/27/2019,Broadcast,15,15,,Rural,"[""TNC""]",North Carolina,Medium
Miller County Sandhills,Watermellon patch,33.1957,-94.0299,3/27/2019,3/27/2019,Broadcast,20,20,,Rural,"[""TNC""]",Arkansas,Medium
Black River,BR West,34.482,-78.214,3/27/2019,3/27/2019,Broadcast,25,25,,Rural,"[""TNC""]",North Carolina,Medium
Black River,BR Bucher,34.481496,-78.215035,3/27/2019,3/27/2019,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Black River,BR Bucher,34.481496,-78.215035,3/27/2019,3/27/2019,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Driftwood,"4/Connelly, 16 (southern)",32.9175,-79.690556,3/27/2019,3/28/2019,Broadcast,69,41,"[""Private""]",Rural,"[""TNC""]",South Carolina,Medium
Pigeon River,Cline Lake Fen West,41.64530089,-85.32193493,3/27/2019,3/27/2019,Broadcast,65,65,,Rural,"[""TNC""]",Indiana,Low
Shut-In Mountain,Shut-In Mountain,37.1042,-91.2322,3/27/2019,3/27/2019,Broadcast,75,75,,Rural,"[""TNC""]",Missouri,Medium
Williams Bluffs,"1,2,3,4,7",31.20410136,-85.08607528,3/27/2019,3/27/2019,Broadcast,284,284,,Rural,"[""TNC""]",Georgia,Medium
Nachusa Grasslands,Stonebarn Savanna,41.89606623,-89.36888942,3/27/2019,3/27/2019,Broadcast,294,294,,Rural,"[""TNC""]",Illinois,Medium
Smoky Valley Ranch,Spring Burn Units,38.93859654,-101.2393312,3/27/2019,3/27/2019,Broadcast,309,309,,Rural,"[""Contractor""]",Kansas,Low
Tannersville Cranberry Bog,Unit 7,41.03497,-75.26276,3/28/2019,3/28/2019,Broadcast,4,4,,Rural,"[""TNC""]",Pennsylvania,Low
Piney Grove,16,36.97246717,-77.09460938,3/28/2019,3/28/2019,Broadcast,53,53,,Rural,"[""TNC""]",Virginia,Medium
McLean,Over,34.460001,-77.758598,3/28/2019,3/28/2019,Broadcast,75,75,,Rural,"[""TNC""]",North Carolina,Medium
Roberta Case Pine Hill Preserve,Unit 2,32.67284502,-86.61876881,3/28/2019,3/28/2019,Broadcast,127,127,,Rural,"[""TNC""]",Alabama,Low
Mike's Pond,"MP 5,6",30.56142937,-88.75546345,3/28/2019,3/28/2019,Broadcast,135,135,,Rural,"[""TNC""]",Mississippi,Medium
Williams Bluffs,"5,6,7,8,9,10",31.19808912,-85.08565691,3/28/2019,3/28/2019,Broadcast,377,377,,Rural,"[""TNC""]",Georgia,Medium
Crowley Bowling Preserve,Crowley Bowling1,35.111,-79.3739,3/29/2019,3/29/2019,Broadcast,44,44,,Rural,"[""TNC""]",North Carolina,Medium
Crowley Bowling Preserve,Crowley Bowling1,35.111,-79.3739,3/29/2019,3/29/2019,Broadcast,44,44,,Rural,"[""TNC""]",North Carolina,Low
Crowley Bowling Preserve,Crowley Bowling2,35.1095,-79.3785,3/29/2019,3/29/2019,Broadcast,53,53,,Rural,"[""TNC""]",North Carolina,Medium
Crowley Bowling Preserve,Crowley Bowling2,35.1095,-79.3785,3/29/2019,3/29/2019,Broadcast,53,53,,Rural,"[""TNC""]",North Carolina,Low
Pine Knot,Pine Knot Willet,32.41203946,-84.57951334,3/29/2019,3/29/2019,Broadcast,62,62,,Rural,"[""TNC""]",Georgia,Medium
Crowley Bowling Preserve,Crowley Bowling3,35.11429,-79.3739,3/29/2019,3/29/2019,Broadcast,86,86,,Rural,"[""TNC""]",North Carolina,Medium
Crowley Bowling Preserve,Crowley Bowling3,35.11429,-79.3739,3/29/2019,3/29/2019,Broadcast,86,86,,Rural,"[""TNC""]",North Carolina,Low
Owen 180 LLP,180 LLP,36.8428927,-77.3094436,3/29/2019,3/29/2019,Broadcast,180,180,,Rural,"[""TNC""]",Virginia,Medium
Crowley Bowling Preserve,"Crowley Bowling units 1,2, 3",35.1110001,-79.3739014,3/29/2019,3/29/2019,Broadcast,183,183,,Rural,"[""TNC""]",North Carolina,Low
Juniper,Ingram 1,32.49234868,-84.58088663,3/30/2019,3/30/2019,Broadcast,524,524,,Rural,"[""TNC""]",Georgia,Medium
Nachusa Grasslands,SW corner Flagg Road,41.90977769,-89.34132368,3/31/2019,3/31/2019,Broadcast,6,6,,Rural,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,HQ Horse Trap,36.847185,-96.424145,4/1/2019,4/1/2019,Broadcast,12,12,,Rural,"[""TNC""]",Oklahoma,Low
Konza Prairie,HQABCE,39.1054,-96.6137,4/1/2019,4/1/2019,Broadcast,70,70,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Low
Nachusa Grasslands,Bivins E Heinkel,41.86969304,-89.35984043,4/1/2019,4/1/2019,Broadcast,100,95,,Rural,"[""TNC""]",Illinois,Low
Broxton Rocks,"24, 2A",31.7324565,-82.84147049,4/1/2019,4/1/2019,Broadcast,166,166,,Rural,"[""TNC""]",Georgia,Medium
Tallgrass Prairie Preserve,Southeast West John Lee,36.831066,-96.371052,4/1/2019,4/1/2019,Broadcast,368,368,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,West Home & Sellers,36.81253,-96.406885,4/1/2019,4/1/2019,Broadcast,"4,419","3,878","[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Emiquon Preserve,Wetland Cells,40.35286762,-90.08615697,4/2/2019,4/2/2019,Non-broadcast,3,3,,Rural,"[""TNC""]",Illinois,Low
Tallgrass Prairie Preserve,Roy's Trap Hay Meadow,36.864221,-96.414535,4/2/2019,4/2/2019,Broadcast,44,44,,Rural,"[""TNC""]",Oklahoma,Low
Nachusa Grasslands,Soderholm ,41.99225074,-89.48158604,4/2/2019,4/2/2019,Broadcast,121,121,,Rural,"[""TNC""]",Illinois,Low
Kingsland Prairie,Cottonmouth creek,34.8485,-92.2509,4/2/2019,4/3/2019,Broadcast,140,140,,Rural,"[""TNC""]",Arkansas,Medium
Disney Wilderness Preserve,Spur Unit,28.12527109,-81.43930162,4/2/2019,4/2/2019,Broadcast,158,158,,Rural,"[""TNC""]",Florida,Low
Emiquon Preserve,"Units 8,13,14",40.34871402,-90.08040631,4/2/2019,4/2/2019,Broadcast,218,218,,Rural,"[""TNC""]",Illinois,Low
Konza Prairie,"N1A, N2B, N1B, 4F",39.0833,-96.59,4/2/2019,4/2/2019,Broadcast,780,780,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Kitty Todd Preserve,Cholic Root_Smitley,41.61243895,-83.80927289,4/3/2019,4/3/2019,Broadcast,2,2,,Urban,"[""TNC""]",Ohio,Low
Thomson Memorial Prairie SNA,Thronson %231 South,43.0008,-89.8484,4/3/2019,4/3/2019,Broadcast,14,14,,Rural,"[""TNC""]",Wisconsin,Medium
Pine Creek Barrens NP ,"2,4,5",37.98441,-85.62885,4/3/2019,4/3/2019,Broadcast,20,20,,Rural,"[""TNC""]",Kentucky,Medium
Pine Knot,Willet NE,32.41123814,-84.5699003,4/3/2019,4/3/2019,Broadcast,20,20,,Rural,"[""TNC""]",Georgia,Medium
Old Fort Bayou,OFB 1E,30.46853014,-88.7412491,4/3/2019,4/3/2019,Broadcast,22,22,,Rural,"[""TNC""]",Mississippi,Low
Nachusa Grasslands,Naylor Rd planting,41.86711102,-89.36788285,4/3/2019,4/3/2019,Broadcast,25,25,,Rural,"[""TNC""]",Illinois,Low
Blacks Bluff,1,34.20893621,-85.21388796,4/3/2019,4/3/2019,Broadcast,26,26,,Rural,"[""TNC""]",Georgia,Medium
Tolleston Strandplain,Ivanhoe Northwest,41.60781682,-87.42047036,4/3/2019,4/3/2019,Broadcast,27,27,,Urban,"[""Contractor""]",Indiana,Medium
Blacks Bluff,2,34.20934913,-85.21646288,4/3/2019,4/3/2019,Broadcast,28,28,,Rural,"[""TNC""]",Georgia,Medium
Mskoda L&W Reserve,East Unit,41.07129006,-87.66187747,4/3/2019,4/3/2019,Broadcast,291,291,,Rural,"[""TNC""]",Illinois,Medium
Moody Forest National Area,8 south,31.9020165,-82.29736116,4/4/2019,4/4/2019,Broadcast,2,2,,Rural,"[""TNC""]",Georgia,Medium
Tiger Creek Preserve,"Units PF 2, 5",27.82135312,-81.46808351,4/4/2019,4/4/2019,Broadcast,20,20,,Rural,"[""TNC""]",Florida,Low
Nassawango Creek Preserve,"U10a, 99",38.304476,-75.447076,4/4/2019,4/4/2019,Broadcast,34,34,,Rural,"[""TNC""]",Maryland,Low
Orton Creek,Plantation Unit 5,33.992,-78.053,4/4/2019,4/4/2019,Broadcast,35,35,,Urban,"[""TNC""]",North Carolina,Medium
Orton Creek,Plantation Unit 5,33.992,-78.053,4/4/2019,4/4/2019,Broadcast,35,35,,Urban,"[""TNC""]",North Carolina,Medium
Juniper,CJ-north,32.5076354,-84.58431986,4/4/2019,4/4/2019,Broadcast,357,357,,Rural,"[""TNC""]",Georgia,Medium
Hemlock Draw State Natural Area,"Hemlock South sub units 6, 7 &9",43.355,-89.931,4/5/2019,4/5/2019,Broadcast,16,16,,Rural,"[""TNC""]",Wisconsin,Medium
Konza Prairie,"WN2A, WN4A, R1A, !B",39.0799,-96.6142,4/5/2019,4/5/2019,Broadcast,244,244,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Kankakee Sands,M Southwest,41.03939233,-87.42907016,4/6/2019,4/6/2019,Broadcast,12,12,,Rural,"[""TNC""]",Indiana,Low
Hemlock Draw State Natural Area,Hemlock South sub unit 1,43.3552,-89.9316,4/6/2019,4/6/2019,Broadcast,32,32,,Rural,"[""TNC""]",Wisconsin,Medium
Kankakee Sands,M Southeast,41.03746054,-87.41682256,4/6/2019,4/6/2019,Broadcast,33,33,,Rural,"[""TNC""]",Indiana,Low
Kankakee Sands,M North,41.04090909,-87.42699324,4/6/2019,4/6/2019,Broadcast,88,88,,Rural,"[""TNC""]",Indiana,Low
Nachusa Grasslands,Williams N of Flagg,41.90404195,-89.37595996,4/6/2019,4/6/2019,Broadcast,124,124,,Rural,"[""TNC""]",Illinois,Low
Lulu Lake State Natural Area,Crooked Creek,42.835,-88.477,4/8/2019,4/8/2019,Broadcast,19,19,,Rural,"[""TNC""]",Wisconsin,Medium
Green Swamp,Clemmons A,34.067703,-78.269248,4/8/2019,4/8/2019,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Green Swamp,Clemmons A,34.067703,-78.269248,4/8/2019,4/8/2019,Broadcast,40,40,,Rural,"[""TNC""]",North Carolina,Medium
Nassawango Creek Preserve,"U10, 11",38.268264,-75.466774,4/8/2019,4/8/2019,Broadcast,110,110,,Rural,"[""TNC""]",Maryland,Medium
Nachusa Grasslands,Orland plus Neighbors,41.92228843,-89.36553153,4/8/2019,4/8/2019,Broadcast,354,150,"[""Private""]",Rural,"[""TNC""]",Illinois,Medium
Tallgrass Prairie Preserve,Bison - Southwest & Ganner,36.758744,-96.389362,4/8/2019,4/8/2019,Broadcast,439,439,,Rural,"[""TNC""]",Oklahoma,Low
Spinn Prairie,North,40.77964269,-86.87358051,4/9/2019,4/9/2019,Broadcast,12,12,,Rural,"[""TNC""]",Indiana,Low
Indian Boundary Prairies,PB3 and SD2,41.62867582,-87.68669323,4/9/2019,4/9/2019,Broadcast,15,15,,Urban,"[""Contractor""]",Illinois,Low
Pickerel Lake State Natural Area,Pickerel Lake Fen South,42.804,-88.4398,4/9/2019,4/9/2019,Broadcast,235,100,,Urban,"[""TNC""]",Wisconsin,Medium
Nachusa Grasslands,Big Woods and neighbor,41.89078812,-89.3618747,4/9/2019,4/9/2019,Broadcast,400,200,"[""Private""]",Rural,"[""TNC""]",Illinois,Medium
Anderson County Preserves,Welda,38.14868688,-95.25286921,4/9/2019,4/9/2019,Broadcast,251,251,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Low
Flint Hills Prairie Preserve,Flint Hills Pasture,38.04160972,-96.52036831,4/9/2019,4/9/2019,Broadcast,"2,188","2,188",,Rural,"[""Ag Tenant""]",Kansas,Medium
Splinter Hill Bog,8 SE,30.99774606,-87.70343268,4/10/2019,4/10/2019,Broadcast,4,4,,Rural,"[""TNC""]",Alabama,Low
Splinter Hill Bog,2-New addition,31.01775582,-87.68098796,4/10/2019,4/10/2019,Broadcast,20,20,,Rural,"[""TNC""]",Alabama,Low
Brown County Hills,Wallow Hollow,39.23764164,-86.2100662,4/10/2019,4/10/2019,Broadcast,62,62,,Rural,"[""TNC""]",Indiana,Low
Nachusa Grasslands,SW201 pine slash,41.89469269,-89.34203236,4/10/2019,4/10/2019,Non-broadcast,,,,Rural,"[""TNC""]",Illinois,Low
Long Pond - Heimbach,Unit 1,41.06243,-75.4849,4/11/2019,4/11/2019,Broadcast,1,1,,Rural,"[""TNC""]",Pennsylvania,Low
Tannersville Cranberry Bog,Unit 1,41.03844,-75.25894,4/11/2019,4/11/2019,Broadcast,7,7,,Rural,"[""TNC""]",Pennsylvania,Low
Nassawango Creek Preserve,"U4, 42",38.292432,-75.446738,4/11/2019,4/11/2019,Broadcast,36,36,,Rural,"[""TNC""]",Maryland,Low
Tiger Creek Preserve,"Central Highlands, Units 18, 19, 20, 22, 25, 26, 28",27.82884282,-81.46716812,4/11/2019,4/11/2019,Broadcast,93,93,,Rural,"[""TNC""]",Florida,Low
Longbranch,NW,31.34557655,-81.89799097,4/11/2019,4/11/2019,Broadcast,108,108,,Rural,"[""TNC""]",Georgia,Medium
Splinter Hill Bog,8,30.99958537,-87.70587886,4/11/2019,4/11/2019,Broadcast,161,161,,Rural,"[""TNC""]",Alabama,Low
Tallgrass Prairie Preserve,Hubble Horse Trap South,36.747493,-96.362025,4/12/2019,4/12/2019,Broadcast,9,9,,Rural,"[""TNC""]",Oklahoma,Low
Broxton Rocks,"1,15,16",31.72682557,-82.85998133,4/12/2019,4/12/2019,Broadcast,195,60,,Rural,"[""TNC""]",Georgia,Medium
Nickel Preserve,Black Bear Unit,36.03636,-94.84273,4/12/2019,4/12/2019,Broadcast,724,724,,Rural,"[""Contractor""]",Oklahoma,Low
Nachusa Grasslands,N of HQ,41.89359572,-89.34264749,4/13/2019,4/13/2019,Broadcast,1,1,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,Holland Prairie middle,41.89826328,-89.36153138,4/13/2019,4/13/2019,Broadcast,40,40,,Rural,"[""TNC""]",Illinois,Low
Tefft Savanna,Prairie Border - North Block West Unit,41.18258566,-86.9655062,4/13/2019,4/13/2019,Broadcast,75,73,"[""Private""]",Rural,"[""TNC""]",Indiana,Low
Cabin Bluff,Shellbine central,30.91022411,-81.53052899,4/15/2019,4/15/2019,Broadcast,175,175,,Rural,"[""TNC""]",Georgia,Medium
Cabin Bluff,Shellbine north,30.91754749,-81.52801364,4/15/2019,4/15/2019,Broadcast,204,204,,Rural,"[""TNC""]",Georgia,Medium
Warm Springs Mountain,Middle Mountain,38.02924232,-79.76754868,4/15/2019,4/15/2019,Broadcast,900,450,,Rural,"[""TNC"",""Government Agency""]",Virginia,Medium
Konza Prairie,"1D, 2D, R1B, SPA, SPB, 2C",39.0708,-96.5918,4/15/2019,4/15/2019,Broadcast,549,549,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Skyline Preserve,Skyline,38.95491949,-96.25334071,4/15/2019,4/15/2019,Broadcast,729,729,,Rural,"[""Ag Tenant""]",Kansas,Low
Broken Kettle Grasslands,Visitor Center,42.69729333,-96.57596016,4/16/2019,4/16/2019,Broadcast,1,1,,Rural,"[""TNC""]",Iowa,Medium
Fort Perry Black Creek,Fort Perry lodge parking lot,32.50306292,-84.51791131,4/16/2019,4/16/2019,Broadcast,1,1,,Rural,"[""TNC""]",Georgia,Medium
Platte River Prairies,Caveny SW,40.76093743,-98.51073756,4/16/2019,4/16/2019,Broadcast,23,23,,Rural,"[""TNC""]",Nebraska,Low
Cabin Bluff,5-points NE,30.89674696,-81.53578546,4/16/2019,4/16/2019,Broadcast,90,90,,Rural,"[""TNC""]",Georgia,Medium
Calloway Preserve,"Calloway units 12, 13",35.0251999,-79.2917023,4/16/2019,4/16/2019,Broadcast,144,144,,Rural,"[""TNC""]",North Carolina,Medium
Calloway Preserve,"Calloway units 12, 13",35.0251999,-79.2917023,4/16/2019,4/16/2019,Broadcast,144,144,,Rural,"[""TNC""]",North Carolina,Low
Saddle Blanket Scrub Preserve,"Unit 18, 19",27.59419874,-81.68380489,4/16/2019,4/16/2019,Broadcast,166,166,,Rural,"[""TNC""]",Florida,Low
Cabin Bluff,Bearpen East/West,30.88297327,-81.52239588,4/16/2019,4/16/2019,Broadcast,204,204,,Rural,"[""TNC""]",Georgia,Medium
Strawberry River Preserve,South unit,36.0923,-91.5077,4/16/2019,4/17/2019,Broadcast,286,286,,Rural,"[""TNC""]",Arkansas,Medium
Roy B Whitaker Preserve,Unit 1,34.67127661,-86.32715905,4/17/2019,4/17/2019,Broadcast,27,27,,Rural,"[""TNC""]",Alabama,Low
Calloway Preserve,Calloway unit 36,35.022399,-79.2639999,4/17/2019,4/17/2019,Broadcast,139,139,,Rural,"[""TNC""]",North Carolina,Medium
Sandy Island,"Unit 7, Brookgreen",33.566111,-79.118611,4/17/2019,4/18/2019,Broadcast,"1,511","1,511",,Rural,"[""Government Agency""]",South Carolina,Medium
Black Ankle Bog,Black Ankle Bog unit 8,35.5017014,-79.8227997,4/18/2019,4/18/2019,Broadcast,23,23,,Rural,"[""TNC""]",North Carolina,Medium
Nassawango Creek Preserve,"U2, 16, 6, 7",38.301627,-75.472508,4/18/2019,4/18/2019,Broadcast,225,225,,Rural,"[""TNC""]",Maryland,Medium
Cross Ranch,Training Unit,47.2067,-101.0056,4/19/2019,4/19/2019,Broadcast,0.25,0.25,,Rural,"[""TNC""]",North Dakota,Low
Niobrara Valley Preserve,Thompson/Harthoorn,42.7292346,-99.96308584,4/19/2019,4/19/2019,Broadcast,635,244,"[""Private""]",Rural,"[""TNC""]",Nebraska,Medium
Calloway Preserve,Calloway unit 20,35.0285988,-79.2850037,4/20/2019,4/20/2019,Broadcast,31,31,,Rural,"[""TNC""]",North Carolina,Medium
Calloway Preserve,Calloway unit 20,35.0285988,-79.2850037,4/20/2019,4/20/2019,Broadcast,31,31,,Rural,"[""TNC""]",North Carolina,Low
Lulu Lake State Natural Area,Lulu Lake,42.8315,-88.457,4/20/2019,4/20/2019,Broadcast,305,305,,Rural,"[""TNC""]",Wisconsin,Medium
Lulu Lake State Natural Area,Crooked Creek,42.82873963,-88.47673353,4/21/2019,4/21/2019,Broadcast,80,80,,Rural,"[""TNC""]",Wisconsin,Medium
John E. Williams Preserve,Beaches,47.5433,-100.7799,4/22/2019,4/22/2019,Broadcast,3,3,,Rural,"[""TNC""]",North Dakota,Low
Bluestem Prairie,BP TU1,46.8471,-96.4741,4/22/2019,4/22/2019,Broadcast,4,4,,Rural,"[""TNC""]",Minnesota,Low
Pickerel Lake State Natural Area,Campbell,42.8144,-88.4376,4/22/2019,4/22/2019,Broadcast,35,35,,Rural,"[""TNC""]",Wisconsin,Medium
NCRE,2-Oct,47.7442,-100.6487,4/22/2019,4/22/2019,Broadcast,52,52,,Rural,"[""TNC""]",North Dakota,Low
Juniper,Ingram 2 NW,32.51168874,-84.59833718,4/22/2019,4/22/2019,Broadcast,200,200,,Rural,"[""TNC""]",Georgia,Medium
Pigeon Point,N. Field,46.50478699,-97.38783399,4/23/2019,4/23/2019,Broadcast,18,18,,Rural,"[""TNC""]",North Dakota,Low
Twin Lakes WMA,South of Sanctuary,48.5946,-96.45,4/23/2019,4/23/2019,Broadcast,670,20,"[""State/Local Government""]",Rural,"[""Government Agency""]",Minnesota,Low
Piney Grove,57C/51,36.97109572,-77.09100449,4/23/2019,4/23/2019,Broadcast,43,43,,Rural,"[""TNC""]",Virginia,Medium
Albany Pine Bush Preserve,Amphibian,42.71894076,-73.86457728,4/23/2019,4/23/2019,Broadcast,50.4,50.4,,Urban,"[""Other (NGO partner, Fire Department etc)""]",New York,Medium
Niobrara Valley Preserve,Thompson/Harthoorn,42.71160708,-99.95553786,4/23/2019,4/23/2019,Broadcast,400,78,,Rural,"[""TNC""]",Nebraska,Medium
Kingsland Prairie,Cottonmouth creek east,33.8449,-92.24,4/23/2019,4/24/2019,Broadcast,103,103,,Rural,"[""TNC""]",Arkansas,Medium
Red Creek,"RC 6,6C",30.70219651,-88.71900639,4/23/2019,4/23/2019,Broadcast,189,189,,Rural,"[""TNC""]",Mississippi,Medium
Kankakee Fen,East,41.59722126,-86.40545702,4/24/2019,4/24/2019,Broadcast,2.5,2.5,,Rural,"[""TNC""]",Indiana,Low
Broken Kettle Grasslands,Corral,42.71702356,-96.58894742,4/24/2019,4/24/2019,Broadcast,15,15,,Rural,"[""TNC""]",Iowa,Medium
Grand River Fen,Savanna,42.08995521,-84.45283139,4/24/2019,4/24/2019,Broadcast,35,35,,Rural,"[""TNC""]",Michigan,Medium
Zimmerman Prairie,South,47.1133,-96.1441,4/24/2019,4/24/2019,Broadcast,48,48,,Rural,"[""TNC""]",Minnesota,Low
Weaver Dunes,Fitzgerald,44.246,-91.9414,4/24/2019,4/24/2019,Broadcast,60,60,,Rural,"[""TNC""]",Minnesota,Low
Piney Grove,13/14,36.97932409,-77.08997453,4/24/2019,4/24/2019,Broadcast,103,103,,Rural,"[""TNC""]",Virginia,Medium
Red Creek,RC 7,30.69245442,-88.70070348,4/24/2019,4/24/2019,Broadcast,173,173,,Rural,"[""TNC""]",Mississippi,Medium
Hemlock Draw State Natural Area,"Hemlock South sub unit 2,3, ",43.3559,-89.938,4/24/2019,4/24/2019,Broadcast,200,195,"[""Private""]",Rural,"[""TNC""]",Wisconsin,Medium
Skull Lake,Skull Lake NE,48.956,-96.6541,4/24/2019,4/24/2019,Broadcast,"1,043",640,,Urban,"[""TNC""]",Minnesota,Low
Fort Perry Black Creek,Fort Perry lodge yard (s211),32.53052796,-84.50586789,4/25/2019,4/25/2019,Broadcast,4,4,,Rural,"[""TNC""]",Georgia,Medium
Disney Wilderness Preserve,Tower,28.12829888,-81.43518174,4/25/2019,4/25/2019,Broadcast,10,10,,Rural,"[""TNC""]",Florida,Low
