Managed Area Name,Burn Unit Name,Latitude,Longitude,Start Date,End Date,Type of Burn,Total Acres of Burn,TNC Acres Burned,Other Landowner,Rural or Urban,Burn Lead,StateName,BurnComplexity
Konza Prairie,HQA,39.1054,-96.6137,3/10/2015,3/10/2015,Broadcast,30.344,30.344,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,HQB,39.1045,-96.6092,3/10/2015,3/10/2015,Broadcast,36.868,36.868,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
"Juniper, CFL ACUB",Little Saunders clearcut,32.50465147,-84.62244514,3/10/2015,3/10/2015,Broadcast,96,96,,Rural,"[""TNC""]",Georgia,Medium
Dunn Ranch,Unit D1,40.48957369,-94.09142394,3/10/2015,3/10/2015,Broadcast,162,162,,Rural,"[""TNC""]",Missouri,Low
Sandy Island,Unit 9,33.537183,-79.139471,3/10/2015,3/10/2015,Broadcast,344,344,,Rural,"[""TNC""]",South Carolina,Medium
Barneveld Prairie SNA,Blackline Operation,42.9951,-89.8979,3/11/2015,3/11/2015,Broadcast,5,5,,Rural,"[""TNC""]",Wisconsin,Medium
Cook Meadow,NW,37.4219,-94.13,3/11/2015,3/11/2015,Broadcast,30,30,,Rural,"[""TNC""]",Missouri,Low
Calloway Forest,6,35.014783,-79.307051,3/11/2015,3/11/2015,Broadcast,61,61,,Rural,"[""TNC""]",North Carolina,Low
Kankakee Sands,Unit D,41.0896,-87.459167,3/11/2015,3/11/2015,Broadcast,291,291,,Rural,"[""TNC""]",Indiana,Low
Tallgrass Prairie Preserve,John Lee / Ann W.,36.824355,-96.359772,3/11/2015,3/11/2015,Broadcast,"2,351","2,351",,Rural,"[""TNC""]",Oklahoma,Low
Tiger Creek Preserve,LL-1,27.805082,-81.497112,3/12/2015,3/12/2015,Broadcast,15,15,,Rural,"[""TNC""]",Florida,Low
Tallgrass Prairie Preserve,HQ Bottom,36.84349,-96.421298,3/12/2015,3/12/2015,Broadcast,32,32,,Rural,"[""TNC""]",Oklahoma,Low
Konza Prairie,K20A,39.1037,-96.5712,3/12/2015,3/12/2015,Broadcast,205.42,205.42,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,K1A,39.1062,-96.5869,3/12/2015,3/12/2015,Broadcast,281.43,281.43,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Kankakee Sands,Unit K,41.040133,-87.459167,3/12/2015,3/12/2015,Broadcast,697,697,,Rural,"[""TNC""]",Indiana,Low
Hart Prairie Preserve,Slash pile burn,35.353147,-111.735533,3/12/2015,3/12/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Indian Boundary Prairies,Paintbrush - Farmer Fred Unit,41.608467,-87.706299,3/15/2015,3/15/2015,Broadcast,11,11,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Nachusa Grasslands,Sand Farm,41.890836,-89.343595,3/15/2015,3/15/2015,Broadcast,308,308,,Rural,"[""TNC""]",Illinois,Low
Myrtlehead Savanna,South,34.137792,-78.499427,3/16/2015,3/16/2015,Broadcast,35,35,,Rural,"[""TNC""]",North Carolina,Medium
Spring Green Preserve,Spring Green Bluffs,45.56337664,-94.43952539,3/16/2015,3/16/2015,Broadcast,90,90,,Rural,"[""TNC""]",Wisconsin,Medium
Nachusa Grasslands,Orland,41.890836,-89.343595,3/16/2015,3/16/2015,Broadcast,160,160,,Rural,"[""TNC""]",Illinois,Low
Bibb County Glades Preserve,"7-3, 7-6, Griffin Private",33.023,-87.021,3/16/2015,3/16/2015,Broadcast,277,182,"[""Private""]",Rural,"[""TNC""]",Alabama,Low
Chilton Creek Preserve,Chilton North,37.09137709,-91.08543582,3/16/2015,3/16/2015,Broadcast,300,300,,Rural,"[""TNC""]",Missouri,Medium
Davis Bend ,Unit 1,37.304,-85.725,3/17/2015,3/17/2015,Broadcast,6,6,,Rural,"[""TNC""]",Kentucky,Medium
Davis Bend ,2013,37.309,-85.725,3/17/2015,3/17/2015,Broadcast,14,14,,Rural,"[""TNC""]",Kentucky,Medium
Honey Hill,Unit 2S,33.177297,-79.557176,3/17/2015,3/17/2015,Broadcast,20,20,,Urban,"[""TNC""]",South Carolina,Medium
Nachusa Grasslands,CCK north,41.890836,-89.343595,3/17/2015,3/17/2015,Broadcast,31,31,,Rural,"[""TNC""]",Illinois,Low
Davis Bend ,Unit 3,37.306,-85.724,3/17/2015,3/17/2015,Broadcast,42,42,,Rural,"[""TNC""]",Kentucky,Medium
Plum Creek Cedar Swamp Preserve,Units 1-3,38.52786688,-75.72267545,3/17/2015,3/17/2015,Broadcast,50,50,,Rural,"[""Government Agency""]",Maryland,Low
Old Fort Bayou,OFB-3,30.81392657,-89.06596562,3/17/2015,3/17/2015,Broadcast,155,155,,Rural,"[""TNC""]",Mississippi,Low
Nachusa Grasslands,Tellabs Didier HP,41.890836,-89.343595,3/17/2015,3/17/2015,Broadcast,190,190,,Rural,"[""TNC""]",Illinois,Low
Niobrara Valley Preserve,SE East Bison,42.739532,-99.96661,3/17/2015,3/20/2015,Broadcast,640,640,,Rural,"[""TNC""]",Nebraska,Medium
Emiquon Preserve,Visitor Use Area ,40.35906412,-90.08409583,3/18/2015,3/18/2015,Broadcast,1,1,,Rural,"[""TNC""]",Illinois,Low
Rodgers Private Property (Blueberry Hill),Rodgers,32.4616,-86.5646,3/18/2015,3/18/2015,Broadcast,45,10,"[""Private""]",Rural,"[""TNC""]",Alabama,Low
Emiquon Preserve,Emiquon 16,40.36665045,-90.08830153,3/18/2015,3/18/2015,Broadcast,30,30,,Rural,"[""TNC""]",Illinois,Low
Piney Grove Preserve,7a,36.97416885,-77.06215628,3/18/2015,3/18/2015,Broadcast,31,31,,Rural,"[""TNC""]",Virginia,Low
Tibwin,Unit 3N,33.082782,-79.526587,3/18/2015,3/18/2015,Broadcast,100,100,,Urban,"[""TNC""]",South Carolina,Medium
Emiquon Preserve,Emiquon 17,40.36154939,-90.08958899,3/18/2015,3/18/2015,Broadcast,180,180,,Rural,"[""TNC""]",Illinois,Medium
Niobrara Valley Preserve,Thompson Wedge,42.729147,-99.987,3/18/2015,3/21/2015,Broadcast,560,560,,Rural,"[""TNC""]",Nebraska,Medium
Flint Rock Preserve,BU 26,30.152111,-84.090555,3/18/2015,3/18/2015,Broadcast,621,621,,Rural,"[""TNC""]",Florida,Low
Matador Ranch,Matador Pile 2015,47.91919523,-108.33029,3/18/2015,3/18/2015,Non-broadcast,,,,Rural,"[""TNC""]",Montana,Low
Apalachicola Bluffs and Ravines Preserve,BU 12-14,30.460763,-84.985648,3/19/2015,3/19/2015,Broadcast,15,15,,Rural,"[""TNC""]",Florida,Low
Piney Grove Preserve,Blacklining 51/29,36.97,-77.05,3/19/2015,3/19/2015,Broadcast,15,15,,Rural,"[""TNC""]",Virginia,Low
Nachusa Grasslands,Dot Doug,41.890836,-89.343595,3/19/2015,3/19/2015,Broadcast,25,25,,Rural,"[""TNC""]",Illinois,Low
Matador Ranch,Beaver Creek Hay Meadow,47.91580133,-108.3354398,3/19/2015,3/19/2015,Broadcast,25,25,,Rural,"[""TNC""]",Montana,Low
Thomsom Memorial Prairie,Back 80,42.9819,-89.8459,3/19/2015,3/19/2015,Broadcast,35,35,,Rural,"[""TNC""]",Wisconsin,Medium
Kankakee Sands,Unit K,41.052267,-87.45475,3/19/2015,3/19/2015,Broadcast,218,218,,Rural,"[""TNC""]",Indiana,Low
Nachusa Grasslands,Orland Middle and West,41.890836,-89.343595,3/19/2015,3/19/2015,Broadcast,230,230,,Rural,"[""TNC""]",Illinois,Low
Niobrara Valley Preserve,East High Tower,42.802186,-100.156932,3/19/2015,3/21/2015,Broadcast,680,680,,Rural,"[""TNC""]",Nebraska,Medium
Hart Prairie Preserve,Slash pile burn,35.353147,-111.735533,3/19/2015,3/19/2015,Non-broadcast,,,,Rural,"[""TNC""]",Arizona,Low
Apalachicola Bluffs and Ravines Preserve,Sweetwater Tract BU 50,30.540161,-84.952877,3/20/2015,3/20/2015,Broadcast,15,15,,Rural,"[""TNC""]",Florida,Low
Tallgrass Prairie Preserve,Bass - North Dayl,36.811778,-96.470933,3/20/2015,3/20/2015,Broadcast,330,50,,Rural,"[""TNC""]",Oklahoma,Low
Nachusa Grasslands,Schafer,41.890836,-89.343595,3/20/2015,3/20/2015,Broadcast,155,155,,Rural,"[""TNC""]",Illinois,Low
Nachusa Grasslands,Big Woods,41.890836,-89.343595,3/20/2015,3/20/2015,Broadcast,212,212,,Rural,"[""TNC""]",Illinois,Low
Konza Prairie,K1B,39.0896,-96.5687,3/20/2015,3/20/2015,Broadcast,448.91,448.91,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Nachusa Grasslands,live fire exercises,41.890836,-89.343595,3/21/2015,3/21/2015,Broadcast,5,5,,Rural,"[""TNC""]",Illinois,Low
Indian Boundary Prairies,Markham North - Afton Unit,41.6088,-87.686526,3/21/2015,3/21/2015,Broadcast,6.3,6.3,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Indian Boundary Prairies,Sundrop - South Wetand Unit,41.619406,-87.701296,3/21/2015,3/21/2015,Broadcast,7.5,7.5,,Urban,"[""TNC; Government Agency""]",Illinois,Low
Thomsom Memorial Prairie,Schult Tract,43.0001,-89.8421,3/21/2015,3/21/2015,Broadcast,17,17,,Rural,"[""TNC""]",Wisconsin,Medium
Niobrara Valley Preserve,West Bison Corral ,42.792934,-100.110784,3/21/2015,3/21/2015,Broadcast,100,100,,Rural,"[""TNC""]",Nebraska,Low
Kankakee Sands,Unit H,41.063518,-87.399183,3/21/2015,3/21/2015,Broadcast,456,456,,Rural,"[""TNC""]",Indiana,Low
Tallgrass Prairie Preserve,East Stish Unit,36.86842,-96.343382,3/21/2015,3/21/2015,Broadcast,942,942,,Rural,"[""TNC""]",Oklahoma,Low
Fish Creek Fen,North,41.583785,-86.53965,3/22/2015,3/22/2015,Broadcast,12,12,,Rural,"[""TNC""]",Indiana,Low
"Pine Knot, CFL ACUB",Beasley,32.4604676,-84.65439561,3/22/2015,3/22/2015,Broadcast,22,22,,Rural,"[""TNC""]",Georgia,Medium
Tallgrass Prairie Preserve,Spring Trap Northeast Unit,36.856877,-96.419534,3/22/2015,3/22/2015,Broadcast,85,85,,Rural,"[""TNC""]",Oklahoma,Low
Tallgrass Prairie Preserve,Potts and Pitts,36.8159,-96.481517,3/22/2015,3/22/2015,Broadcast,658,111,"[""Private""]",Rural,"[""TNC""]",Oklahoma,Low
Thorny Mountain,SW,37.0833,-91.2083,3/22/2015,3/22/2015,Broadcast,570,300,"[""Federal Government; State/Local Government""]",Rural,"[""TNC; Government Agency""]",Missouri,Low
Niobrara Valley Preserve,North Heigh,42.826465,-100.206354,3/22/2015,3/24/2015,Broadcast,960,960,,Rural,"[""TNC""]",Nebraska,Medium
Old Fort Bayou,OFB-16,30.47409503,-88.73789928,3/23/2015,3/23/2015,Broadcast,40,40,,Rural,"[""TNC""]",Mississippi,Low
Chilton Creek Preserve,Bowman East,37.05686289,-91.08298965,3/23/2015,3/23/2015,Broadcast,200,90,,Rural,"[""TNC; Government Agency""]",Missouri,Medium
South River Preserve and Cowbane Natural Area,South River Preserve and Cowbane Natural Area,38.02,-79.05,3/24/2015,3/24/2015,Broadcast,22,15,,Urban,"[""TNC""]",Virginia,Medium
Research Plots,Plots,40.44,-98.35,3/24/2015,3/24/2015,Broadcast,26,26,,Rural,"[""TNC""]",Nebraska,Low
Wah' Kon-Tah Prairie,MK-2NW,37.9027,-94.0026,3/24/2015,3/24/2015,Broadcast,45,45,,Rural,"[""Government Agency""]",Missouri,Low
Chilton Creek Preserve,"Chilton North, Interior unburned",37.09705947,-91.08753867,3/25/2015,3/25/2015,Broadcast,200,200,,Rural,"[""TNC""]",Missouri,Low
Matador Ranch,Little Triangle,47.96895643,-108.2909366,3/26/2015,3/26/2015,Broadcast,140,138,,Rural,"[""TNC""]",Montana,Medium
Konza Prairie,N1Asw,39.092,-96.5936,3/26/2015,3/26/2015,Broadcast,148.32,148.32,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,N2B,39.0833,-96.5922,3/26/2015,3/26/2015,Broadcast,293.51,293.51,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
Konza Prairie,N1B,39.0811,-96.5707,3/26/2015,3/26/2015,Broadcast,298.21,298.21,,Rural,"[""Other (NGO partner, Fire Department etc)""]",Kansas,Medium
