Ignition Date,Agency,Office,District,Burn Number,Burn Name,Daily Burn Acres Requested,Acres Burned,Location
2/1/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.45719436986715; -112.50586906387377)
2/1/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,0,(34.51201725472643; -112.44983879148401)
2/2/2016,U.S. Forest Service,,Cave Creek ,TNF0106P,Misc District Piles,5,0,(33.72465587654683; -111.66249923706056)
2/2/2016,U.S. Forest Service,,Payson,TNF0401P,Payson Pits,2,2,(34.268; -111.31700000000001)
2/3/2016,U.S. Forest Service,,Payson,TNF0401P,Payson Pits,2,2,(34.258707448624214; -111.19529208374024)
2/5/2016,U.S. Forest Service,Prescott,Bradshaw,PNF0337P,West Zone Piles,30,5,(34.457484546120114; -112.5058004160868)
2/8/2016,U.S. Forest Service,,Payson,TNF0408P,Myrtle,200,0,(34.3782790374682; -111.17658633041378)
2/9/2016,National Park Service,,Grand Canyon Park,GCP0305P,Inner Canyon Piles,3,1,(36.075702645700716; -112.12971858978273)
2/9/2016,U.S. Fish & Wildlife Service,,Imperial ,AZIMR1606B,Research Burns 2016 Fields,25,25,(32.9; -114.46659999999997)
2/9/2016,U.S. Forest Service,,Payson,TNF0401P,Payson Pits,2,2,(34.38963046694982; -111.28232440185547)
2/10/2016,National Park Service,,Grand Canyon Park,GCP0305P,Inner Canyon Piles,3,1,(36.07566795980935; -112.12967567443849)
2/10/2016,U.S. Forest Service,,Payson,TNF0403P,Verde,200,0,(34.383352886185406; -111.32027261352533)
2/11/2016,National Park Service,,Grand Canyon Park,GCP0305P,Inner Canyon Piles,3,0,(36.07663915898451; -112.12950401306153)
2/11/2016,U.S. Forest Service,,Payson,TNF0403P,Verde,91,0,(34.38462789110015; -111.32327668762207)
2/11/2016,U.S. Forest Service,,Payson,TNF0403B,Verde,291,0,(34.38292788023252; -111.3209592590332)
2/11/2016,U.S. Forest Service,,Mesa,TNF0301P,Mesa RD Admin/Rec Site Piles,10,0,(33.54445320439206; -111.64344372558594)
2/16/2016,U.S. Forest Service,,Payson,TNF0405B,Payson,3000,33,(34.326; -111.28199999999998)
2/17/2016,U.S. Forest Service,Coronado,Safford,CNF0417B,Galiuros (Muleshoe unit),500,40,(32.49383865923349; -110.21917456054689)
2/17/2016,U.S. Forest Service,,Payson,TNF0405B,Payson,3000,1000,(34.32245579368245; -111.26483386230467)
